observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution	experimentId	datasetId	replicateId
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1	986.688213044207	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg343
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2	963.146739077231	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg343
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3	1015.96778236031	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg343
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4	1017.93353509215	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg343
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5	1028.63346243266	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg343
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6	972.085779630542	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg343
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1	997.931234640771	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg344
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2	960.042432341131	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg344
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3	991.900245651353	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg344
pRII_Microscopy	control	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4	1037.970793188	65	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;b_pRII_global;rel_open;xi_rel_open	s_pRII_JI09_150302_Drg345_343_CycNuc;s_pRII_global;rho_pRII_Microscopy	lin	normal	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg344
